,,,,,,,,,
#,Category,Capability, User Story,Required?,Priority,Status,Frontend,Backend,Client comments
Login,,,,,,,,,
,Account Setup,Welcome Email,"As a Provider, I should be able to receive a welcome email with a Set Password link when my profile is created.",,Should have,New,,,
,Account Setup,Password Setup,"As a Provider, on my first login I should be able to set password",,,New,,,
,Login,OTP Verification,"As a Provider, after entering my credentials I should receive a One-Time Password (OTP) on my registered email",,,New,,,
,Login,Resend OTP,"As a Provider, I should be able to resend the OTP if I did not receive it or if it has expired.",,,New,,,
,Login,Secure Login,"As a Provider, I should be able to login using valid credentials.",,Should have,New,,,
,Login,Onboarding,"As a Provider, I should be able to reset the password if I forgot the password.",,,New,,,
Lead Management,,,,,,,,,
,CRM - Lead Management,Lead Intake,"As a provider, I should be able to capture and view which source a lead originated from ",Yes,Should Have,Modified,,,
,CRM - Lead Management,Assign service type,"As a provider, I should be able to assign service type (ADH, ALF, etc.) to a lead",,,Retained,,,
,CRM - Lead Management,Lead Assignment,"As a provider, I should be able to assign leads to sales team members.",Yes,Should Have,Retained,,,
,CRM - Lead Management,Lead Follow-up,"As a provider, I should be able to document lead notes and track follow-ups.",Yes,Should Have,Removed,8,8,
,CRM - Lead Management,Pipeline Management,"As a provider, I should be able to manage the sales pipeline.",Yes,Should Have,Removed,12,12,
,CRM - Lead Management,Capacity Tracking,"As a provider, I should be able to track empty bed/room capacity.",Yes,Should Have,Removed,8,8,
,CRM - Lead Management,Lead Qualification,"As a provider, I should be able to track lead qualification and win/loss reasons.",Yes,Should Have,Removed,8,8,
,CRM - Lead Management,Conversion Analysis,"As a provider, I should be able to analyze historical conversion data.",Yes,Should Have,Removed,12,12,
,CRM - Lead Management,Add Lead,"As a provider, I should be able to add lead details ",,,New,,,
,CRM - Lead Management,Lead List,"As a provider, I should be able to view the list of leads ",,,New,,,
,CRM - Lead Management,Import & Export Lead List,"As a provider, I should be able to import & export list of leads.",,,New,,,
,CRM - Lead Management,Add Filter,"As a provider, I should be able to add filter on lead list",,,New,,,
,CRM - Lead Management,Edit Lead,"As a provider, I should be able to edit lead details ",,,New,,,
,CRM - Lead Management,Lead Activity ,"As a provider, I should be able to view activity overview of Lead ",,,New,,,
,CRM - Lead Management,Reject the lead,"As a Provider, I should be able Reject the lead with reason",,,New,,,
,CRM - Communication,Call Lead ,"As a Provider, I should be able to select call type, add pre-call notes, initiate a call with a lead and add in-call notes.",,,New,,,
,CRM - Communication,Lead Summary ,"As a Provider, I should be able to see the automatically generated AI call summary for each call.",,,New,,,
,CRM - Communication,SMS Lead ,"As a provider, I should be able to send SMS to lead",,,New,,,
